experiment_key,experiment,n_samples,label,expected_offset_m,mean_horizontal_m,std_horizontal_m,mean_cross_track_m,std_cross_track_m,abs_cross_track_error_m,heading_fix_deg,correction_mode,mean_horizontal_ci95_m,mean_cross_track_ci95_m,cross_track_ok
1_TOC_NS,Experiment 1 (TOC),3878,published,0.0,0.21791777983622937,0.20509227845591568,-0.06718689779457881,0.21339477602883994,0.06718689779457881,180.0,heading_shift,0.006455077768424853,0.006716390714523429,True
1_TOC_NS,Experiment 1 (TOC),3878,corrected,0.0,0.15109190436035091,0.2236285719116127,-0.012356350397423041,0.1673783726600241,0.012356350397423041,180.0,heading_shift,0.007038489375608243,0.005268069672867236,True
2_TOC_EW,Experiment 2 (TOC),330,published,0.0,0.11844662757209232,0.04599093274914907,-0.0980269333720776,0.04469842744636227,0.0980269333720776,180.0,heading_shift,0.004962166347155288,0.004822712199704297,True
2_TOC_EW,Experiment 2 (TOC),330,corrected,0.0,0.0729914849519881,0.03819006347367263,0.04987445249580725,0.0539115355175139,0.04987445249580725,180.0,heading_shift,0.0041204958550941535,0.005816755418456351,True
3_2m,Experiment 3 (2 m offset),503,published,2.0,2.0752514120656294,0.20873966597146848,0.2119808708782054,0.3260287843916807,1.7880191291217946,180.0,heading_shift,0.018242193705746357,0.02849233379215517,False
3_2m,Experiment 3 (2 m offset),503,corrected,2.0,2.07526706568738,0.20874460106428164,1.9771420234808599,0.2195388456181883,0.022857976519140122,180.0,heading_shift,0.018242624993775082,0.01918595648347133,True
4_4m,Experiment 4 (4 m offset),459,published,4.0,3.8275543730426773,0.40306646066744284,-0.4162165988077943,0.6594236983860984,3.5837834011922056,180.0,heading_shift,0.03687452124426892,0.060327354290028265,False
4_4m,Experiment 4 (4 m offset),459,corrected,4.0,3.827407183905281,0.4031719218074155,-3.5799140548297155,0.4282971916285026,0.4200859451702845,180.0,heading_shift,0.03688416935301984,0.03918275379552466,True
5_6m,Experiment 5 (6 m offset),427,published,6.0,5.256554478120918,0.25338028530236706,0.5178058533882385,1.078213793056409,5.482194146611762,180.0,heading_shift,0.024033385609849172,0.10226970826660725,False
5_6m,Experiment 5 (6 m offset),427,corrected,6.0,5.256485127042513,0.25329923769280593,4.978123947999521,0.3751888928760968,1.0218760520004793,180.0,heading_shift,0.024025698159142364,0.03558705969670558,False
